just_date,Status,Count
2021-06-01,sent,1629
2021-06-01,bounced,14
2021-06-01,soft-bounced,13
2021-06-01,spam,2
2021-06-02,sent,1609
2021-06-02,soft-bounced,21
2021-06-02,bounced,18
2021-06-03,sent,1688
2021-06-03,bounced,17
2021-06-03,soft-bounced,21
2021-06-04,sent,1578
2021-06-04,soft-bounced,21
2021-06-04,bounced,19
2021-06-04,spam,1
2021-06-05,sent,1693
2021-06-05,soft-bounced,31
2021-06-05,spam,6
2021-06-05,bounced,20
2021-06-06,sent,1796
2021-06-06,bounced,21
2021-06-06,soft-bounced,22
2021-06-06,spam,1
2021-06-07,bounced,13
2021-06-07,sent,1660
2021-06-07,soft-bounced,19
2021-06-08,sent,1585
2021-06-08,soft-bounced,23
2021-06-08,bounced,24
2021-06-08,spam,3
2021-06-09,soft-bounced,21
2021-06-09,sent,1622
2021-06-09,bounced,12
2021-06-09,spam,2
2021-06-10,sent,1614
2021-06-10,bounced,19
2021-06-10,soft-bounced,12
2021-06-10,spam,1
2021-06-11,sent,1895
2021-06-11,bounced,16
2021-06-11,soft-bounced,21
2021-06-11,spam,1
2021-06-12,sent,1908
2021-06-12,bounced,28
2021-06-12,soft-bounced,33
2021-06-13,sent,2063
2021-06-13,soft-bounced,31
2021-06-13,bounced,21
2021-06-14,sent,2078
2021-06-14,bounced,17
2021-06-14,soft-bounced,35
2021-06-15,sent,1868
2021-06-15,soft-bounced,46
2021-06-15,bounced,17
2021-06-15,spam,1
2021-06-16,sent,1811
2021-06-16,bounced,19
2021-06-16,soft-bounced,35
2021-06-17,sent,1931
2021-06-17,soft-bounced,47
2021-06-17,bounced,17
2021-06-17,spam,3
2021-06-17,rejected,2
2021-06-18,sent,1835
2021-06-18,bounced,12
2021-06-18,soft-bounced,27
2021-06-18,deferred,2
2021-06-19,sent,2166
2021-06-19,soft-bounced,48
2021-06-19,bounced,32
2021-06-19,spam,2
2021-06-19,deferred,3
2021-06-20,sent,2207
2021-06-20,soft-bounced,45
2021-06-20,rejected,8
2021-06-20,bounced,20
2021-06-20,deferred,2
2021-06-21,sent,715
2021-06-21,soft-bounced,14
2021-06-21,bounced,3
2021-06-21,deferred,5
